ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301018.SZ,20260311,103.28,118.0,100.88,111.63,104.1,7.53,7.2334,227027.54,2445285.037
301018.SZ,20260310,104.0,106.19,101.31,104.1,101.01,3.09,3.0591,145410.89,1515763.456
301018.SZ,20260309,97.14,102.23,94.02,101.01,106.66,-5.65,-5.2972,163310.34,1596622.399
301018.SZ,20260306,103.09,109.77,102.62,106.66,102.73,3.93,3.8256,123503.06,1299482.814
301018.SZ,20260305,101.43,107.9,101.39,102.73,100.66,2.07,2.0564,125403.09,1306302.892
301018.SZ,20260304,97.86,103.72,97.0,100.66,98.78,1.88,1.9032,106543.95,1072370.043
301018.SZ,20260303,108.58,108.59,98.42,98.78,109.69,-10.91,-9.9462,173673.45,1767180.748
301018.SZ,20260302,106.1,113.47,104.14,109.69,107.06,2.63,2.4566,147017.31,1618008.775
301018.SZ,20260227,106.65,108.02,104.0,107.06,108.85,-1.79,-1.6445,127493.63,1354816.759
301018.SZ,20260226,97.55,111.16,96.0,108.85,97.71,11.14,11.4011,186409.91,1941074.809
301018.SZ,20260225,97.91,101.6,94.83,97.71,96.91,0.8,0.8255,154312.34,1491278.388
301018.SZ,20260224,94.1,100.8,93.39,96.91,93.3,3.61,3.8692,205542.91,1997071.042
301018.SZ,20260213,86.5,96.71,85.5,93.3,88.94,4.36,4.9022,261095.34,2426315.979
301018.SZ,20260212,81.0,90.89,80.3,88.94,75.74,13.2,17.428,292081.23,2534272.568
301018.SZ,20260211,77.41,80.66,75.48,75.74,77.11,-1.37,-1.7767,116942.14,905823.364
301018.SZ,20260210,76.7,79.83,75.8,77.11,77.08,0.03,0.0389,123087.79,959394.648
301018.SZ,20260209,72.5,78.58,72.0,77.08,72.01,5.07,7.0407,177630.55,1344291.16
301018.SZ,20260206,66.0,74.91,66.0,72.01,67.33,4.68,6.9508,191639.04,1368443.621
301018.SZ,20260205,69.98,70.34,64.05,67.33,71.01,-3.68,-5.1824,149028.88,989685.71
301018.SZ,20260204,73.13,75.18,69.18,71.01,72.87,-1.86,-2.5525,130176.18,932861.193
301018.SZ,20260203,70.74,73.5,68.4,72.87,68.83,4.04,5.8695,187008.58,1333619.983
301018.SZ,20260202,65.5,73.32,65.05,68.83,65.52,3.31,5.0519,262157.59,1838138.95
301018.SZ,20260130,63.0,66.6,62.9,65.52,63.73,1.79,2.8087,100399.54,655169.876
301018.SZ,20260129,64.6,66.2,62.9,63.73,65.79,-2.06,-3.1312,81462.14,524642.457
301018.SZ,20260128,65.5,67.49,63.7,65.79,65.48,0.31,0.4734,129268.61,851069.654
301018.SZ,20260127,66.31,67.98,61.58,65.48,66.48,-1.0,-1.5042,119637.91,767717.953
301018.SZ,20260126,65.0,67.69,64.65,66.48,65.13,1.35,2.0728,91707.87,608479.414
301018.SZ,20260123,64.5,65.8,64.07,65.13,65.0,0.13,0.2,67566.6,438980.164
301018.SZ,20260122,64.38,65.31,63.78,65.0,64.1,0.9,1.4041,58440.32,376253.266
301018.SZ,20260121,61.19,65.69,61.0,64.1,61.98,2.12,3.4205,102749.2,656929.344
301018.SZ,20260120,66.74,66.9,61.21,61.98,66.4,-4.42,-6.6566,124711.65,786927.353
301018.SZ,20260119,66.8,68.58,66.01,66.4,67.24,-0.84,-1.2493,94082.0,632624.776
301018.SZ,20260116,67.06,68.2,65.65,67.24,66.83,0.41,0.6135,84805.84,566095.52
301018.SZ,20260115,66.25,69.0,66.03,66.83,67.6,-0.77,-1.1391,91164.81,614627.054
301018.SZ,20260114,64.99,69.0,64.5,67.6,65.0,2.6,4.0,157931.24,1051792.636
301018.SZ,20260113,70.14,70.25,64.8,65.0,69.4,-4.4,-6.3401,118187.24,791352.515
301018.SZ,20260112,71.0,71.05,68.17,69.4,70.19,-0.79,-1.1255,135728.2,939968.142
301018.SZ,20260109,67.18,71.7,66.64,70.19,67.97,2.22,3.2661,152579.17,1065540.283
301018.SZ,20260108,68.59,70.0,67.04,67.97,69.15,-1.18,-1.7064,129244.98,882951.354
301018.SZ,20260107,65.0,70.28,64.01,69.15,67.13,2.02,3.0091,196477.86,1332858.672
301018.SZ,20260106,65.92,67.77,63.81,67.13,66.0,1.13,1.7121,160933.31,1056116.2
301018.SZ,20260105,63.7,67.99,63.13,66.0,63.52,2.48,3.9043,146632.2,967117.417
301018.SZ,20251231,65.0,65.6,62.94,63.52,65.94,-2.42,-3.67,115877.42,741101.92
301018.SZ,20251230,64.07,67.98,63.62,65.94,65.3,0.64,0.9801,146818.5,974112.454
301018.SZ,20251229,65.2,69.5,65.0,65.3,64.47,0.83,1.2874,154873.02,1033276.43
301018.SZ,20251226,66.54,67.36,63.9,64.47,67.56,-3.09,-4.5737,161770.87,1055594.861
301018.SZ,20251225,66.0,68.56,65.6,67.56,66.54,1.02,1.5329,170062.27,1144742.091
