candidate_id,result,issues,created_at
metric_cashflow_002837_20250630_n_cashflow_act_bb088e43,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20250331_c_fr_sale_sg_32a3874b,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20250331_c_inf_fr_operate_a_a73dd8a7,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20250331_n_cashflow_act_f2081d6b,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20250331_c_fr_sale_sg_e6a7b4b1,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20250331_c_inf_fr_operate_a_eee2eb43,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20250331_n_cashflow_act_75849766,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20241231_net_profit_d255c2e2,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20241231_c_fr_sale_sg_25e7ec9a,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20241231_c_inf_fr_operate_a_5484ad6c,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20241231_n_cashflow_act_353e2a93,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20241231_net_profit_dbb9dfd9,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20241231_c_fr_sale_sg_471bd444,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20241231_c_inf_fr_operate_a_044fcb1b,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20241231_n_cashflow_act_80f3db21,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240930_c_fr_sale_sg_473cbdad,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240930_c_inf_fr_operate_a_3fc2d989,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240930_n_cashflow_act_53303b62,promoted,,2026-07-02T18:31:10Z
metric_cashflow_002837_20240930_c_fr_sale_sg_7c0c9825,promoted,,2026-07-02T18:31:10Z
