metric_id,entity_type,entity_id,metric_name,period,value,unit,source_evidence_id,calculation_method,is_estimate,confidence,created_at,status,review_status,notes
metric_cn_002837_invic_total_revenue_20250331_c22826,company,cn_002837_invic,total_revenue,20250331,932585781.26,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250331_total_revenue_d374cc44
metric_cn_002837_invic_revenue_20250331_26a3f4,company,cn_002837_invic,revenue,20250331,932585781.26,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250331_revenue_80b455fa
metric_cn_002837_invic_operate_profit_20250331_b4e57f,company,cn_002837_invic,operate_profit,20250331,54908431.71,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250331_operate_profit_c1caba2a
metric_cn_002837_invic_total_profit_20250331_2a7d1a,company,cn_002837_invic,total_profit,20250331,56129588.75,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250331_total_profit_a7d0a897
metric_cn_002837_invic_n_income_20250331_0ac1f3,company,cn_002837_invic,n_income,20250331,54381946.57,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250331_n_income_d7f92505
metric_cn_002837_invic_n_income_attr_p_20250331_e812cc,company,cn_002837_invic,n_income_attr_p,20250331,48010475.41,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250331_n_income_attr_p_641b712f
metric_cn_002837_invic_basic_eps_20250331_78ec7d,company,cn_002837_invic,basic_eps,20250331,0.06,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250331_basic_eps_955b000c
metric_cn_002837_invic_diluted_eps_20250331_c5dd48,company,cn_002837_invic,diluted_eps,20250331,0.06,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20250331_diluted_eps_058fe84d
metric_cn_002837_invic_total_revenue_20241231_5fc80f,company,cn_002837_invic,total_revenue,20241231,4588819487.27,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20241231_total_revenue_03a2e6b4
metric_cn_002837_invic_revenue_20241231_375cf7,company,cn_002837_invic,revenue,20241231,4588819487.27,CNY,ev_structured_financial_data_002837_20260701_89213a,raw_adapter_snapshot_no_recalculation,false,medium,2026-07-02T16:41:18Z,active,reviewed_r3_candidate,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.; promoted_from=metric_income_002837_20241231_revenue_85504894
