metric_candidate_id,source_evidence_id,source_name,source_type,entity_type,entity_id,segment_id,company_id,stock_code,metric_name,metric_category,period,period_type,value,unit,currency,original_value_text,original_unit_text,table_id,page_no_or_section,calculation_method,is_estimate,is_reported,confidence,review_status,promote_to_metric_id,created_at,notes
metric_income_002837_20250630_basic_eps_c757be1e,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,basic_eps,income,20250630,unknown,0.22,CNY,,0.22,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250630_diluted_eps_10718fd1,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,diluted_eps,income,20250630,unknown,0.22,CNY,,0.22,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250331_total_revenue_d374cc44,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,total_revenue,income,20250331,unknown,932585781.26,CNY,,932585781.26,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250331_revenue_80b455fa,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,revenue,income,20250331,unknown,932585781.26,CNY,,932585781.26,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250331_operate_profit_c1caba2a,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,operate_profit,income,20250331,unknown,54908431.71,CNY,,54908431.71,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250331_total_profit_a7d0a897,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,total_profit,income,20250331,unknown,56129588.75,CNY,,56129588.75,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250331_n_income_d7f92505,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income,income,20250331,unknown,54381946.57,CNY,,54381946.57,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250331_n_income_attr_p_641b712f,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,n_income_attr_p,income,20250331,unknown,48010475.41,CNY,,48010475.41,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250331_basic_eps_955b000c,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,basic_eps,income,20250331,unknown,0.06,CNY,,0.06,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20250331_diluted_eps_058fe84d,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,diluted_eps,income,20250331,unknown,0.06,CNY,,0.06,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20241231_total_revenue_03a2e6b4,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,total_revenue,income,20241231,unknown,4588819487.27,CNY,,4588819487.27,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20241231_revenue_85504894,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,revenue,income,20241231,unknown,4588819487.27,CNY,,4588819487.27,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20241231_operate_profit_52277e0f,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,operate_profit,income,20241231,unknown,503433812.82,CNY,,503433812.82,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
metric_income_002837_20241231_total_profit_80430e4a,ev_structured_financial_data_002837_20260701_89213a,local_tushare_fixture,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,total_profit,income,20241231,unknown,510919444.6,CNY,,510919444.6,CNY,local_tushare_fixture_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-02T16:41:18Z,Metric-only candidate generated from structured snapshot; api_params_hash=89213a966157f54a99fb9c7a56582424d1e66d7d9c39990d049c80f5e508f1aa; not business exposure evidence.
